| IP Address      |   Port | Service             | Country   | City   | Organization                                                                                             | ISP                                              | ASN      |   Latitude |   Longitude |
| 182.75.139.242  |     83 | Hikvision IP Camera | India     | Pune   | PODAR EDUCATION & SPORTS TRUST                                                                           | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 114.143.28.18   |     80 | Hikvision IP Camera | India     | Pune   | Tata Teleservices Maharashtra Ltd                                                                        | Tata Teleservices (Maharashtra) Ltd              | AS134540 |    18.5196 |     73.8554 |
| 114.29.232.234  |     80 | Hikvision IP Camera | India     | Pune   | Global (India) Tele-Infra Pvt Ltd                                                                        | Global (India) Tele-Infra Pvt Ltd                | AS134885 |    18.5333 |     73.8667 |
| 1.22.3.146      |     80 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5196 |     73.8554 |
| 182.74.136.250  |     85 | Hikvision IP Camera | India     | Pune   | SOLARIS SPORTS WORLD                                                                                     | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 59.94.55.98     |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 117.200.221.12  |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 45.124.140.161  |     81 | Hikvision IP Camera | India     | Dāhānu | Joister Infomedia Pvt Ltd.                                                                               | Joister Infomedia Pvt Ltd.                       | AS135846 |    19.9678 |     72.7126 |
| 116.75.152.66   |     81 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5196 |     73.8554 |
| 122.170.4.184   |     80 | Hikvision IP Camera | India     | Pune   | ABTS-MUMBAI                                                                                              | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5196 |     73.8554 |
| 116.74.163.161  |     80 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5131 |     73.7825 |
| 14.140.46.66    |     88 | Hikvision IP Camera | India     | Pune   | Internet Service Provider                                                                                | TATA Communications formerly VSNL is Leading ISP | AS4755   |    18.5196 |     73.8554 |
| 182.70.119.24   |     81 | Hikvision IP Camera | India     | Pune   | Bharti Airtel Services Limited, 6th floor , Interface Building No 7, Link Road, Mumbai Maharastra-400064 | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5131 |     73.7825 |
| 117.195.3.17    |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 114.29.234.97   |     80 | Hikvision IP Camera | India     | Pune   | Global (India) Tele-Infra Pvt Ltd                                                                        | Global (India) Tele-Infra Pvt Ltd                | AS134885 |    18.5196 |     73.8554 |
| 116.74.138.188  |   8093 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5167 |     73.9167 |
| 103.97.164.98   |     82 | Hikvision IP Camera | India     | Pune   | Pearl Solutions                                                                                          | Paradise Telecom Pvt Ltd                         | AS136284 |    18.5196 |     73.8554 |
| 103.182.159.146 |     80 | Hikvision IP Camera | India     | Pune   | NET ACCESS NETWORK                                                                                       | Net Access Internet India Pvt Ltd                | AS140158 |    18.5196 |     73.8554 |
| 103.82.42.97    |     80 | Hikvision IP Camera | India     | Pune   | Silicon Care Broadnet Pvt Ltd.                                                                           | Silicon Care Broadnet Pvt Ltd.                   | AS135795 |    18.5131 |     73.7825 |
| 59.95.99.122    |    443 | Hikvision IP Camera | India     | Pune   | NIB (National Internet Backbone)                                                                         | National Internet Backbone                       | AS9829   |    18.5333 |     73.8667 |
| 1.22.124.30     |     80 | Hikvision IP Camera | India     | Pune   | Tikona Infinet Ltd.                                                                                      | Tikona Infinet Ltd.                              | AS45528  |    18.5148 |     73.8358 |
| 115.160.210.53  |     80 | Hikvision IP Camera | India     | Pune   | Tata Teleservices Limited                                                                                | Tata Teleservices Maharashtra Ltd                | AS17762  |    18.5196 |     73.8554 |
| 117.247.80.79   |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 116.74.186.68   |     80 | Hikvision IP Camera | India     | Pune   | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5148 |     73.8358 |
| 103.127.60.54   |     80 | Hikvision IP Camera | India     | Pune   | Teleglobal Communications Pvt Ltd                                                                        | Teleglobal Communications Pvt Ltd                | AS135722 |    18.5196 |     73.8554 |
| 125.20.154.66   |     80 | Hikvision IP Camera | India     | Pune   | BHARTI INFOTEL LTD.                                                                                      | BHARTI Airtel Ltd.                               | AS9498   |    18.5196 |     73.8554 |
| 117.248.111.245 |     80 | Hikvision IP Camera | India     | Pune   | Broadband Multiplay Project, O/o DGM BB, NOC BSNL Bangalore                                              | National Internet Backbone                       | AS9829   |    18.5196 |     73.8554 |
| 122.170.4.189   |   1000 | N/A                 | India     | Pune   | ABTS-MUMBAI                                                                                              | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5196 |     73.8554 |
| 125.99.72.110   |     80 | Boa Web Server      | India     | Khadki | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5788 |     73.8263 |
| 122.185.140.74  |   1029 | N/A                 | India     | Pimpri | BHARTI Airtel Ltd.                                                                                       | BHARTI Airtel Ltd.                               | AS9498   |    18.6032 |     73.7626 |
| 122.170.4.189   |   1000 | N/A                 | India     | Pune   | ABTS-MUMBAI                                                                                              | Bharti Airtel Ltd., Telemedia Services           | AS24560  |    18.5196 |     73.8554 |
| 125.99.72.110   |     80 | Boa Web Server      | India     | Khadki | HATHWAY CABLE AND DATACOM LIMITED                                                                        | Hathway IP Over Cable Internet                   | AS17488  |    18.5788 |     73.8263 |
| 122.185.140.74  |   1029 | N/A                 | India     | Pimpri | BHARTI Airtel Ltd.                                                                                       | BHARTI Airtel Ltd.                               | AS9498   |    18.6032 |     73.7626 |
